ecoli_min_distance
2e-05
1e-05
0.00001
0.00001
0.00001
0.00001
1e-05
0.00001
0.00001
1e-05
0.00001
0.00001
1e-05
0.00001
0.00001
0.00001
2e-05
0.00001
1e-05
0.00001
0.00001
0.00001
0.00001
0.00001
0.00001
1e-05
0.00001
0.00001
0.00001
0.00001
0.00001
2e-05
0.00001
0.00001
0.00001
1e-05
0.00001
1e-05
2e-05
0.00001
0.00001
0.00001
0.00001
0.00001
0.00001
0.00001
0.00001
2e-05
0.00001
0.00001
2e-05
1e-05
0.00001
0.00001
0.00001
0.00001
1e-05
0.00001
0.00001
0.00001
0.00001
1e-05
0.00001
2e-05
0.00001
1e-05
0.00001
2e-05
0.00001
1e-05
2e-05
1e-05
0.00001
0.00001
0.00001
0.00001
0.00001
0.00001
0.00001
0.00001
1e-05
0.00001
0.00001
0.00001
1e-05
0.00001
0.00001
1e-05
0.00001
0.00001
0.00001
0.00001
2e-05
2e-05
0.00001
0.00001
2e-05
0.00001
0.00001
0.00001
